state_id,exact_candidate_reachability,baseline_target_probability,target_probability_from_candidate,probability_difference_from_baseline,probability_ratio_to_baseline,raises_probability_from_state,exact_value_source,T,br,bs,fr,fs,i,k,l,lr,ls,nrtr,r,r_ab,recv,rrep,s,s_ab,srep,labels
19,0.1275,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,3,False,True,1,2,False,0,exact_reachability_candidate_19
20,0.019125,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,2,1,False,True,0,2,False,0,exact_reachability_candidate_20
22,0.765,0.3416445845150787,0.332988188603248,-0.0086563959118306,0.9746625695117712,False,existing_exact_reachability,True,False,False,True,True,2,0,0,False,False,0,4,True,True,1,1,True,0,
23,0.07225000000000001,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,True,True,1,1,0,False,False,1,4,True,True,1,2,False,0,exact_reachability_candidate_23
24,0.01275,0.3416445845150787,0.4897359642814847,0.14809137976640602,1.433466199900704,True,sample_size_storm_verification,True,False,False,True,True,1,2,0,False,False,1,4,True,True,1,2,False,0,exact_reachability_candidate_24
25,0.17977500000000002,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,1,False,False,1,4,True,True,1,2,False,0,exact_reachability_candidate_25
26,0.019975,0.3416445845150787,0.4897359642814847,0.14809137976640602,1.433466199900704,True,sample_size_storm_verification,True,False,False,True,True,1,0,2,False,False,1,4,True,True,1,2,False,0,exact_reachability_candidate_26
27,0.019125,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,2,2,False,True,0,2,False,0,exact_reachability_candidate_27
29,0.83896880625,0.3416445845150787,0.32794998018072447,-0.01369460433435421,0.9599156405368112,False,sample_size_storm_verification,True,False,True,True,False,2,1,0,False,False,0,4,True,True,1,2,True,0,exact_reachability_candidate_29
30,0.14805331875,0.3416445845150787,0.3615380363308813,0.0198934518158026,1.0582285003698766,True,sample_size_storm_verification,True,False,True,True,False,2,2,0,False,False,0,4,True,True,1,2,True,0,exact_reachability_candidate_30
31,0.07225000000000001,0.3416445845150787,0.3486629661710717,0.007018381655993,1.0205429325506643,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,2,True,True,1,2,False,0,exact_reachability_candidate_31
32,0.032725000000000004,0.3416445845150787,0.4897359642814847,0.14809137976640602,1.433466199900704,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,4,True,True,1,3,False,0,exact_reachability_candidate_32
33,0.17977500000000002,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,1,4,True,True,1,4,True,0,exact_reachability_candidate_33
34,0.019125,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,2,3,False,True,1,2,False,0,exact_reachability_candidate_34
35,0.83896880625,0.3416445845150787,0.32794998018072447,-0.01369460433435421,0.9599156405368112,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,0,2,True,True,1,2,True,0,exact_reachability_candidate_35
36,0.14805331875,0.3416445845150787,0.3615380363308813,0.0198934518158026,1.0582285003698766,True,existing_exact_reachability,True,False,True,True,False,2,0,0,False,False,0,4,True,True,1,3,True,0,
37,0.02781625,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,True,True,1,1,0,False,False,2,4,True,True,1,2,False,0,exact_reachability_candidate_37
39,0.17977500000000002,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,2,0,0,False,False,1,4,True,True,1,1,True,0,exact_reachability_candidate_39
40,0.042247125,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,1,False,False,2,4,True,True,1,2,False,0,exact_reachability_candidate_40
42,0.83896880625,0.3416445845150787,0.32794998018072447,-0.01369460433435421,0.9599156405368112,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,0,3,True,True,2,2,True,0,exact_reachability_candidate_42
43,0.1258453209375,0.3416445845150787,0.34009885155418546,-0.0015457329608932202,0.9954756111147285,False,sample_size_storm_verification,True,False,True,True,False,2,1,0,False,False,1,4,True,True,1,2,True,0,exact_reachability_candidate_43
44,0.0222079978124999,0.3416445845150787,0.4830267500654909,0.1413821655504122,1.4138282061490492,True,existing_exact_reachability,True,False,True,True,False,2,2,0,False,False,1,4,True,True,1,2,True,0,
45,0.02781625,0.3416445845150787,0.39968936974292324,0.058044785227844564,1.1698981569113172,True,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,2,2,True,True,1,2,False,0,exact_reachability_candidate_45
47,0.042247125,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,1,0,0,False,False,2,4,True,True,1,4,True,0,exact_reachability_candidate_47
48,0.755071925625,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,1,False,False,0,4,False,True,2,2,True,0,exact_reachability_candidate_48
49,0.08389688062500002,0.3416445845150787,0.3615380363308813,0.0198934518158026,1.0582285003698766,True,sample_size_storm_verification,True,True,True,False,False,2,0,2,False,False,0,4,False,True,2,2,True,0,exact_reachability_candidate_49
50,0.1258453209375,0.3416445845150787,0.34009885155418546,-0.0015457329608932202,0.9954756111147285,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,1,2,True,True,1,2,True,0,exact_reachability_candidate_50
51,0.0222079978124999,0.3416445845150787,0.4830267500654909,0.1413821655504122,1.4138282061490492,True,existing_exact_reachability,True,False,True,True,False,2,0,0,False,False,1,4,True,True,1,3,True,0,
53,0.042247125,0.3416445845150787,0.332988188603248,-0.00865639591183065,0.9746625695117711,False,sample_size_storm_verification,True,False,False,True,True,2,0,0,False,False,2,4,True,True,1,1,True,0,exact_reachability_candidate_53
54,0.755071925625,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,0,4,False,True,2,4,False,0,exact_reachability_candidate_54
55,0.08389688062500002,0.3416445845150787,0.3615380363308813,0.0198934518158026,1.0582285003698766,True,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,0,4,False,True,2,3,True,0,exact_reachability_candidate_55
56,0.1258453209375,0.3416445845150787,0.3400988515541854,-0.0015457329608932,0.9954756111147284,False,existing_exact_reachability,True,True,True,False,False,2,0,0,False,False,1,3,True,True,2,2,True,0,
57,0.018876798140624998,0.3416445845150787,0.3917961765476363,0.050151592032557646,1.1467946348505464,True,sample_size_storm_verification,True,False,True,True,False,2,1,0,False,False,2,4,True,True,1,2,True,0,exact_reachability_candidate_57
59,0.755071925625,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,3,0,0,False,False,0,4,False,True,2,1,False,0,exact_reachability_candidate_59
60,0.07131234853125001,0.3416445845150787,0.34009885155418546,-0.0015457329608932202,0.9954756111147285,False,sample_size_storm_verification,True,True,True,False,False,2,1,0,False,False,1,4,False,True,2,2,True,0,exact_reachability_candidate_60
61,0.0125845320937499,0.3416445845150787,0.4830267500654909,0.1413821655504122,1.4138282061490492,True,existing_exact_reachability,True,True,True,False,False,2,2,0,False,False,1,4,False,True,2,2,True,0,
62,0.177441902521875,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,1,False,False,1,4,False,True,2,2,True,0,exact_reachability_candidate_62
63,0.019715766946875,0.3416445845150787,0.4830267500654909,0.1413821655504122,1.4138282061490492,True,existing_exact_reachability,True,True,True,False,False,2,0,2,False,False,1,4,False,True,2,2,True,0,
64,0.018876798140624998,0.3416445845150787,0.3917961765476363,0.050151592032557646,1.1467946348505464,True,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,2,2,True,True,1,2,True,0,exact_reachability_candidate_64
66,0.8280807739535883,0.3416445845150787,0.31911352056138,-0.022531063953698693,0.934051160255683,False,sample_size_storm_verification,True,True,False,False,False,3,1,0,False,False,0,4,False,True,2,2,False,0,exact_reachability_candidate_66
67,0.1461319012859273,0.3416445845150787,0.3531432097643011,0.0114986252492224,1.033656688179452,True,existing_exact_reachability,True,True,False,False,False,3,2,0,False,False,0,4,False,True,2,2,False,0,
68,0.07131234853125001,0.3416445845150787,0.34009885155418546,-0.0015457329608932202,0.9954756111147285,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,1,2,False,True,2,2,True,0,exact_reachability_candidate_68
69,0.032300299040625,0.3416445845150787,0.4830267500654909,0.1413821655504122,1.4138282061490492,True,existing_exact_reachability,True,True,True,False,False,2,0,0,False,False,1,4,False,True,2,3,True,0,
70,0.177441902521875,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,1,4,False,True,2,4,False,0,exact_reachability_candidate_70
71,0.018876798140624998,0.3416445845150787,0.3917961765476363,0.050151592032557646,1.1467946348505464,True,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,2,3,True,True,2,2,True,0,exact_reachability_candidate_71
73,0.8280807739535883,0.3416445845150787,0.31911352056138,-0.022531063953698693,0.934051160255683,False,sample_size_storm_verification,True,False,False,False,False,3,0,0,False,False,0,2,False,True,2,2,False,0,exact_reachability_candidate_73
74,0.1461319012859273,0.3416445845150787,0.3531432097643011,0.0114986252492224,1.033656688179452,True,existing_exact_reachability,True,True,False,False,False,3,0,0,False,False,0,4,False,True,2,3,False,0,
75,0.0274552541845312,0.3416445845150787,0.3917961765476363,0.0501515920325576,1.1467946348505464,True,existing_exact_reachability,True,True,True,False,False,2,1,0,False,False,2,4,False,True,2,2,True,0,
77,0.177441902521875,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,3,0,0,False,False,1,4,False,True,2,1,False,0,exact_reachability_candidate_77
78,0.04169884709264062,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,1,False,False,2,4,False,True,2,2,True,0,exact_reachability_candidate_78
80,0.8280807739535883,0.3416445845150787,0.31911352056138,-0.022531063953698693,0.934051160255683,False,sample_size_storm_verification,True,False,False,False,False,3,0,0,False,False,0,3,False,True,2,2,False,0,exact_reachability_candidate_80
81,0.12421211609303824,0.3416445845150787,0.3314221315496706,-0.01022245296540808,0.9700786916323654,False,sample_size_storm_verification,True,True,False,False,False,3,1,0,False,False,1,4,False,True,2,2,False,0,exact_reachability_candidate_81
82,0.0219197851928891,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,existing_exact_reachability,True,True,False,False,False,3,2,0,False,False,1,4,False,True,2,2,False,0,
83,0.0274552541845312,0.3416445845150787,0.3917961765476363,0.0501515920325576,1.1467946348505464,True,existing_exact_reachability,True,True,True,False,False,2,0,0,False,False,2,2,False,True,2,2,True,0,
85,0.04169884709264062,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,2,0,0,False,False,2,4,False,True,2,4,False,0,exact_reachability_candidate_85
86,0.7452726965582296,0.3416445845150787,0.31533244398327764,-0.02631214053180103,0.9229838793752643,False,sample_size_storm_verification,True,False,False,False,False,3,0,1,False,False,0,4,True,True,2,2,False,0,exact_reachability_candidate_86
87,0.08280807739535885,0.3416445845150787,0.35314320976430114,0.01149862524922246,1.033656688179452,True,sample_size_storm_verification,True,False,False,False,False,3,0,2,False,False,0,4,True,True,2,2,False,0,exact_reachability_candidate_87
88,0.12421211609303824,0.3416445845150787,0.3314221315496706,-0.01022245296540808,0.9700786916323654,False,sample_size_storm_verification,True,False,False,False,False,3,0,0,False,False,1,2,False,True,2,2,False,0,exact_reachability_candidate_88
89,0.0219197851928891,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,existing_exact_reachability,True,True,False,False,False,3,0,0,False,False,1,4,False,True,2,3,False,0,
91,0.04169884709264062,0.3416445845150787,0.32421797394181817,-0.017426610573260504,0.9489919894442485,False,sample_size_storm_verification,True,True,True,False,False,3,0,0,False,False,2,4,False,True,2,1,False,0,exact_reachability_candidate_91
92,0.7452726965582296,0.3416445845150787,0.31533244398327764,-0.02631214053180103,0.9229838793752643,False,sample_size_storm_verification,True,False,False,False,False,3,0,0,False,False,0,4,True,True,2,4,True,0,exact_reachability_candidate_92
93,0.0828080773953588,0.3416445845150787,0.3531432097643011,0.0114986252492224,1.033656688179452,True,existing_exact_reachability,True,False,False,False,False,3,0,0,False,False,0,4,True,True,2,3,False,0,
94,0.12421211609303824,0.3416445845150787,0.3314221315496706,-0.01022245296540808,0.9700786916323654,False,sample_size_storm_verification,True,False,False,False,False,3,0,0,False,False,1,3,False,True,2,2,False,0,exact_reachability_candidate_94
95,0.0186318174139557,0.3416445845150787,0.3837991995849499,0.0421546150698712,1.123387335788461,True,existing_exact_reachability,True,True,False,False,False,3,1,0,False,False,2,4,False,True,2,2,False,0,
97,0.7452726965582296,0.3416445845150787,0.31533244398327764,-0.02631214053180103,0.9229838793752643,False,sample_size_storm_verification,True,False,False,False,False,4,0,0,False,False,0,4,True,True,2,1,True,0,exact_reachability_candidate_97
98,0.07038686578605502,0.3416445845150787,0.3314221315496706,-0.01022245296540808,0.9700786916323654,False,sample_size_storm_verification,True,False,False,False,False,3,1,0,False,False,1,4,True,True,2,2,False,0,exact_reachability_candidate_98
99,0.0124212116093038,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,existing_exact_reachability,True,False,False,False,False,3,2,0,False,False,1,4,True,True,2,2,False,0,
100,0.1751390836911839,0.3416445845150787,0.3153324439832776,-0.026312140531801,0.9229838793752644,False,existing_exact_reachability,True,False,False,False,False,3,0,1,False,False,1,4,True,True,2,2,False,0,
101,0.0194598981879093,0.3416445845150787,0.4762293196472074,0.1345847351321287,1.3939320019462762,True,existing_exact_reachability,True,False,False,False,False,3,0,2,False,False,1,4,True,True,2,2,False,0,
102,0.0186318174139557,0.3416445845150787,0.3837991995849499,0.0421546150698712,1.123387335788461,True,existing_exact_reachability,True,False,False,False,False,3,0,0,False,False,2,2,False,True,2,2,False,0,
